Method,Resolution,Seed,Number of Clusters,Silhouette Score,Calinski-Harabasz Score,Davies-Bouldin Score,Modularity Score
Recon_PARE,0.5,0,11,0.1805056780576706,44397.83140366728,1.8304084843696935,0.7917062044143677
Recon_PARE,0.5,1,14,0.18674518167972565,36994.124386627685,1.7332443644520183,0.7958043217658997
Recon_PARE,0.5,2,12,0.21314884722232819,43026.51775015077,1.7761050996244616,0.7971921563148499
Recon_PARE,0.5,3,12,0.20280799269676208,42159.86405487721,1.7800503866201687,0.7977490425109863
Recon_PARE,0.5,4,13,0.21580131351947784,41248.839927990186,1.7021084566371711,0.7975267767906189
Recon_PARE,0.5,5,14,0.18247979879379272,37296.29341672375,1.7367538719766562,0.7961307168006897
Recon_PARE,0.5,6,12,0.21217922866344452,43217.08608311149,1.7760423986264378,0.7981858253479004
Recon_PARE,0.5,7,12,0.2029460370540619,41891.85354978309,1.7760172077038774,0.7979904413223267
Recon_PARE,0.5,8,12,0.20077331364154816,41880.5537920682,1.7842827971773785,0.7977057695388794
Recon_PARE,0.5,9,13,0.2194637507200241,41228.913962910825,1.6995484146682505,0.7984414100646973
scFoundation,0.8,0,16,0.08540219068527222,7456.31824579629,2.517582920518075,0.7308580875396729
scFoundation,0.8,1,15,0.0830061063170433,7810.488018370806,2.491255227990421,0.7311118245124817
scFoundation,0.8,2,15,0.07761838287115097,7761.972888886779,2.5023965820845393,0.7321850061416626
scFoundation,0.8,3,18,0.06184906139969826,6830.457749299548,2.6335182354070152,0.7304677963256836
scFoundation,0.8,4,17,0.054095592349767685,6950.097266364797,2.5591524785323667,0.7300398945808411
scFoundation,0.8,5,14,0.07719562202692032,8198.100999330454,2.5341375520519827,0.7299454212188721
scFoundation,0.8,6,15,0.07723268121480942,7761.24020184392,2.5397878019240276,0.7309610247612
scFoundation,0.8,7,16,0.07823244482278824,7507.037225225153,2.482567258004778,0.7308397889137268
scFoundation,0.8,8,15,0.08476492762565613,8020.3616240166,2.491784745677523,0.7305953502655029
scFoundation,0.8,9,13,0.07548227906227112,8538.321822280568,2.5748718309251095,0.7279525995254517
Recon_PARE,0.8,0,16,0.12115207314491272,32756.500224658317,1.9043088783619284,0.7979567050933838
Recon_PARE,0.8,1,14,0.14702585339546204,36512.747039331414,1.9208819901283043,0.7991197109222412
Recon_PARE,0.8,2,17,0.15970379114151,33727.747838437775,1.8188461515545653,0.798279881477356
Recon_PARE,0.8,3,15,0.1513165831565857,34558.93266880616,1.8991010111376858,0.7991155385971069
Recon_PARE,0.8,4,15,0.11115512996912003,34376.78730457036,1.854783613959001,0.7991871237754822
Recon_PARE,0.8,5,14,0.1435757428407669,36367.09611947044,1.9156081601381056,0.7987281084060669
Recon_PARE,0.8,6,16,0.11670973151922226,33764.772657729845,1.7965314902059413,0.7993050813674927
Recon_PARE,0.8,7,14,0.15277937054634094,37163.99787824074,1.9040939830643049,0.7989270687103271
Recon_PARE,0.8,8,16,0.11894731968641281,33966.66868675464,1.797779797775068,0.7996565103530884
Recon_PARE,0.8,9,15,0.1322755515575409,34172.55693655628,1.898025663671272,0.7987704277038574
scFoundation,1.0,0,17,0.07820883393287659,7349.159331311633,2.5159008632781936,0.7331802845001221
scFoundation,1.0,1,17,0.08005024492740631,7315.509057919513,2.521204025168,0.7337760925292969
scFoundation,1.0,2,16,0.07619699090719223,7328.22565673659,2.5164477431753616,0.7331047654151917
scFoundation,1.0,3,16,0.08359112590551376,7512.426112918429,2.5707660760890896,0.7322399616241455
scFoundation,1.0,4,16,0.08034790307283401,7608.329824771866,2.5452107916768307,0.7312195301055908
scFoundation,1.0,5,16,0.08930867910385132,7681.163777407184,2.5876907567621052,0.7329585552215576
scFoundation,1.0,6,17,0.07788462936878204,7206.929477837984,2.5125057161405624,0.732136607170105
scFoundation,1.0,7,17,0.07801774144172668,7187.707863994618,2.5250999163488554,0.7319278120994568
scFoundation,1.0,8,16,0.07652228325605392,7434.852794662026,2.556238845566083,0.7315484285354614
scFoundation,1.0,9,17,0.08317777514457703,7359.9282513616845,2.530366812432444,0.7328916788101196
Recon_PARE,1.0,0,19,0.13221970200538635,29555.733080667953,1.7212468686727818,0.8031765222549438
Recon_PARE,1.0,1,21,0.12971989810466766,28529.335224850005,1.7444553608050914,0.8035335540771484
Recon_PARE,1.0,2,19,0.10917322337627411,29512.14277480187,1.7706921482205182,0.8029871582984924
Recon_PARE,1.0,3,18,0.12455137073993683,31246.916930718296,1.7856737624403192,0.8046354055404663
Recon_PARE,1.0,4,18,0.10532250255346298,30624.48855987567,1.8200996809496917,0.8046430349349976
Recon_PARE,1.0,5,19,0.07595016062259674,29032.815358932352,1.7450020979165335,0.8024284243583679
Recon_PARE,1.0,6,22,0.08886663615703583,27109.694417344184,1.7365144016622722,0.8032129406929016
Recon_PARE,1.0,7,20,0.08378925919532776,28672.129422263217,1.793909790653906,0.8029637336730957
Recon_PARE,1.0,8,20,0.11818020790815353,30034.668813348537,1.7791357851052023,0.8050561547279358
Recon_PARE,1.0,9,21,0.08848258852958679,28373.714430885386,1.7337153692828622,0.8015924692153931
scFoundation,1.2,0,21,0.05814508721232414,6059.487213524168,2.592486666445635,0.7278366088867188
scFoundation,1.2,1,19,0.07058688253164291,6691.309367831509,2.6359202134964796,0.7280391454696655
scFoundation,1.2,2,20,0.06719780713319778,6333.718549828819,2.618202080341685,0.7286204099655151
scFoundation,1.2,3,19,0.07026778906583786,6646.259986951431,2.598243919730923,0.7306000590324402
scFoundation,1.2,4,19,0.07122090458869934,6733.207198153443,2.6214016902261412,0.7292625904083252
scFoundation,1.2,5,19,0.06722637265920639,6578.056665830746,2.6399678503127295,0.7288480401039124
scFoundation,1.2,6,19,0.07149230688810349,6759.497111320425,2.6075239637139838,0.7294381856918335
scFoundation,1.2,7,19,0.07067230343818665,6769.51163971999,2.6091832396460295,0.7297518253326416
scFoundation,1.2,8,20,0.06479378789663315,6355.431838993834,2.629307004041843,0.7284806966781616
scFoundation,1.2,9,19,0.07414209842681885,6648.928548463883,2.6167340302083217,0.7303089499473572
Recon_PARE,1.2,0,20,0.06764228641986847,27213.674485509953,1.9079452161832258,0.804784893989563
Recon_PARE,1.2,1,23,0.0974777415394783,26547.75636755353,1.86520954363345,0.802327036857605
Recon_PARE,1.2,2,22,0.10950180143117905,27121.018744909466,1.8977785032028984,0.8033328056335449
Recon_PARE,1.2,3,22,0.09110955893993378,26396.039958634756,1.8845041250623267,0.804901659488678
Recon_PARE,1.2,4,25,0.07325641810894012,23182.446286911083,1.8709778600572173,0.8051893711090088
Recon_PARE,1.2,5,24,0.09485124051570892,24573.007311951016,1.8627053255622361,0.8024107813835144
Recon_PARE,1.2,6,24,0.06738415360450745,24046.415535868833,1.8713167271468711,0.8046534657478333
Recon_PARE,1.2,7,23,0.12996304035186768,26241.303619919046,1.8521742640520618,0.8057630062103271
