Method,Resolution,Seed,Number of Clusters,Silhouette Score,Calinski-Harabasz Score,Davies-Bouldin Score,Modularity Score
scVI,0.05,0,12,0.14911790192127228,2713.753856771825,1.5200681907555869,0.829667866230011
scVI,0.05,1,10,0.17468544840812683,3054.8404307563183,1.5995825363119263,0.819487452507019
scVI,0.05,2,9,0.1924791932106018,3193.032301149535,1.7369774435799588,0.8192296028137207
scVI,0.05,3,11,0.20299984514713287,2954.481902602023,1.6036395106708996,0.8291622400283813
scVI,0.05,4,10,0.13526839017868042,2966.028430969768,1.6185262595656371,0.8157781958580017
scVI,0.05,5,11,0.20084460079669952,3165.2436369052452,1.5618929992971926,0.8390792012214661
scVI,0.05,6,10,0.20283012092113495,3342.877675591798,1.6295625403844007,0.8355069160461426
scVI,0.05,7,8,0.19863261282444,3367.6993553521856,1.7913388026649744,0.8118860125541687
scVI,0.05,8,9,0.20248019695281982,3294.9689944912907,1.7232881375855256,0.8233786225318909
scVI,0.05,9,11,0.1861351579427719,2906.091294656478,1.5583376350792584,0.8270127773284912
CellLens(Lite),0.05,0,14,0.45358020067214966,4794.1495362028,1.5966876265772036,0.8852559924125671
CellLens(Lite),0.05,1,16,0.45691606402397156,4496.999943423864,1.2704916618932107,0.8811147809028625
CellLens(Lite),0.05,2,16,0.46738579869270325,4726.957086498919,1.2810837409205527,0.884902834892273
CellLens(Lite),0.05,3,16,0.4741675555706024,4808.494313489051,1.2280643987317656,0.8840561509132385
CellLens(Lite),0.05,4,15,0.4695969223976135,4936.721068148636,1.2627671196426236,0.8829541802406311
CellLens(Lite),0.05,5,14,0.4369507431983948,4589.498966831679,1.3877921316849735,0.8720834255218506
CellLens(Lite),0.05,6,17,0.5022530555725098,4990.251874895049,1.1689204771834296,0.8924472332000732
CellLens(Lite),0.05,7,15,0.42318978905677795,4309.80492126684,1.3078419441327445,0.86705082654953
CellLens(Lite),0.05,8,16,0.4709227681159973,4397.2558664869175,1.3488503305432358,0.8817471265792847
CellLens(Lite),0.05,9,15,0.47918692231178284,4904.611536467884,1.520858088662,0.8906991481781006
PARE,0.05,0,15,0.5989605188369751,21626.800948661927,1.0609476352608416,0.8773031234741211
PARE,0.05,1,17,0.6134954690933228,27384.421508041054,0.9906641830257825,0.8829131722450256
PARE,0.05,2,14,0.7554090023040771,17101.299680296604,0.9603697475239231,0.8808727860450745
PARE,0.05,3,16,0.7342170476913452,24581.026593806953,0.9705470111351138,0.8863679766654968
PARE,0.05,4,16,0.6551003456115723,24627.396775895835,1.0091635476621632,0.8821345567703247
PARE,0.05,5,15,0.6438051462173462,22921.213251892183,1.0649712017121584,0.8813009262084961
PARE,0.05,6,16,0.6645662784576416,24611.78837286409,1.0028044799319478,0.8821098804473877
PARE,0.05,7,16,0.6587022542953491,24822.889227964897,0.9999157999389758,0.8826885223388672
PARE,0.05,8,15,0.6669899225234985,23059.77468693812,1.0512389336830796,0.8840876221656799
PARE,0.05,9,16,0.5760967135429382,24200.408045819837,1.0249960524827322,0.8770012855529785
PARE_wolasso,0.05,0,13,0.6390752196311951,9442.383105578556,0.7472314788463698,0.821688175201416
PARE_wolasso,0.05,1,13,0.6337606310844421,9247.697817896053,0.7509603374574062,0.8191659450531006
PARE_wolasso,0.05,2,13,0.6346421241760254,9308.933895528997,0.7488246385821525,0.819641649723053
PARE_wolasso,0.05,3,14,0.6559886932373047,9749.54075286325,0.7942973182909566,0.8362756967544556
PARE_wolasso,0.05,4,14,0.6688711047172546,9910.368730398925,0.73385552158674,0.8344597816467285
PARE_wolasso,0.05,5,13,0.6580831408500671,10214.717087432902,0.7863156878497242,0.8339309692382812
PARE_wolasso,0.05,6,13,0.6374772191047668,9406.902887526734,0.7457970869930797,0.8210793733596802
PARE_wolasso,0.05,7,13,0.6535794734954834,10067.555848609263,0.790020723703899,0.8321621417999268
PARE_wolasso,0.05,8,9,0.48272496461868286,8973.622574140894,1.0837285357856414,0.819200336933136
PARE_wolasso,0.05,9,13,0.6540360450744629,10068.662045318517,0.7907715128338199,0.8321171402931213
scVI,0.1,0,12,0.22841106355190277,3172.731915407569,1.5763287126340855,0.854736864566803
scVI,0.1,1,13,0.21659258008003235,2985.7747940001136,1.5045873586450136,0.8522414565086365
scVI,0.1,2,12,0.21223555505275726,3079.8634941340947,1.583849475262035,0.8481810688972473
scVI,0.1,3,15,0.22222837805747986,2820.276138925573,1.460771719832454,0.8646949529647827
scVI,0.1,4,14,0.22405722737312317,2967.839247609996,1.504195543947772,0.8682290315628052
scVI,0.1,5,15,0.21737204492092133,2787.709712769283,1.4972114857831256,0.8647596836090088
scVI,0.1,6,15,0.23648802936077118,2934.551917158732,1.4595835965689292,0.8728172779083252
scVI,0.1,7,12,0.213287353515625,3064.823207636105,1.547454065765164,0.8493019342422485
scVI,0.1,8,14,0.22378593683242798,2981.125638171715,1.5509677679304759,0.8710393905639648
scVI,0.1,9,14,0.2059764713048935,2863.212588910274,1.5011505966126848,0.8571684956550598
CellLens(Lite),0.1,0,19,0.5429301857948303,5206.134593686149,1.1051380621308056,0.9018353223800659
CellLens(Lite),0.1,1,18,0.5530126094818115,5580.217953005331,1.409098611868735,0.913640022277832
CellLens(Lite),0.1,2,19,0.5282871127128601,5059.770513936714,1.2558618355977906,0.9093396067619324
CellLens(Lite),0.1,3,19,0.5156890153884888,4655.901363381554,1.14792464658112,0.8869541883468628
CellLens(Lite),0.1,4,19,0.5355801582336426,5064.834475909127,1.1055877654043378,0.895271897315979
CellLens(Lite),0.1,5,18,0.5296947956085205,5033.316080584392,1.1762302825225095,0.8949832320213318
CellLens(Lite),0.1,6,19,0.5332724452018738,5010.144555321436,1.1083484373485457,0.8951642513275146
CellLens(Lite),0.1,7,19,0.5353750586509705,5050.230945362622,1.105334074803858,0.8953127861022949
CellLens(Lite),0.1,8,16,0.518367350101471,5226.554684169237,1.499567518912482,0.9027440547943115
CellLens(Lite),0.1,9,19,0.5501662492752075,5162.253942831685,1.0922120488025149,0.8958636522293091
PARE,0.1,0,19,0.6472646594047546,21545.374229052013,1.0833788805426354,0.8822107911109924
PARE,0.1,1,18,0.675316333770752,28663.319085288138,0.9391710269962772,0.8855027556419373
PARE,0.1,2,18,0.6047931909561157,18000.71628920933,1.123579091825901,0.8776096701622009
PARE,0.1,3,18,0.6627155542373657,18607.488310527384,1.202168703529184,0.881848931312561
PARE,0.1,4,18,0.5869065523147583,22818.62541931108,1.20602742170867,0.8733456134796143
PARE,0.1,5,19,0.6238349676132202,26856.434026596464,1.19033655758436,0.8758541345596313
PARE,0.1,6,19,0.7221859693527222,40003.78164332329,0.8845095934747457,0.8898019790649414
PARE,0.1,7,18,0.7146643400192261,28816.520768320457,0.9199590208337644,0.8892398476600647
PARE,0.1,8,20,0.6499949097633362,37593.927198656835,1.2635915426945241,0.8767322301864624
PARE,0.1,9,18,0.600657045841217,23799.357532182537,1.3157881609290443,0.8731021285057068
PARE_wolasso,0.1,0,16,0.756187379360199,15377.487853357146,0.6624244077655506,0.8757778406143188
PARE_wolasso,0.1,1,14,0.6731754541397095,10512.524982539147,0.8070616991010644,0.8477377891540527
PARE_wolasso,0.1,2,16,0.7432559728622437,14249.054711011548,0.6829688791432817,0.8723567724227905
PARE_wolasso,0.1,3,16,0.748756468296051,14808.86859077824,0.674583117515562,0.875234067440033
PARE_wolasso,0.1,4,15,0.6986779570579529,11515.062949896477,0.8399547805343113,0.8697528839111328
PARE_wolasso,0.1,5,16,0.815474808216095,21552.521958831872,0.597492564269908,0.8870449662208557
PARE_wolasso,0.1,6,15,0.7258511185646057,13098.715275321147,0.7139232772072187,0.8709766268730164
PARE_wolasso,0.1,7,15,0.6937936544418335,10654.76128637028,0.7653989880190614,0.8501883745193481
PARE_wolasso,0.1,8,16,0.7439656257629395,14241.547065158562,0.6798530278432686,0.8722384572029114
PARE_wolasso,0.1,9,16,0.7430383563041687,14320.090911315056,0.6853390295843831,0.8716862797737122
scVI,0.2,0,20,0.3068957030773163,2956.611250390354,1.4236973881785064,0.8911899328231812
scVI,0.2,1,19,0.2954312562942505,3039.1877427461436,1.4170041928327595,0.8925901651382446
scVI,0.2,2,18,0.29652225971221924,3071.341720813737,1.5162934841617064,0.8937469720840454
scVI,0.2,3,19,0.27720317244529724,2869.7325800426242,1.3876153164936376,0.8812690377235413
scVI,0.2,4,17,0.28113240003585815,3113.5866537889765,1.4614158338791705,0.8818640112876892
scVI,0.2,5,18,0.30245912075042725,3152.3539530180988,1.393887934778825,0.8891697525978088
scVI,0.2,6,18,0.28946244716644287,3081.6608011763246,1.3838438989370438,0.8841427564620972
scVI,0.2,7,18,0.27988481521606445,2998.411069453429,1.4174161218546346,0.8808996677398682
scVI,0.2,8,20,0.2983946204185486,2921.3629124837476,1.367939872101358,0.8891943693161011
scVI,0.2,9,18,0.30146652460098267,3138.105640894482,1.3986615297969522,0.8884541392326355
CellLens(Lite),0.2,3,25,0.6672067046165466,6713.98811903322,0.9632010123220078,0.9232066869735718
PARE,0.2,0,21,0.6493768095970154,24649.16294976964,1.367237654962781,0.8701804280281067
PARE,0.2,1,21,0.6880114674568176,42756.99513007891,1.1966157693500794,0.8820033073425293
PARE,0.2,2,20,0.6454654932022095,38785.31892060257,1.1582025033023908,0.8770570158958435
PARE,0.2,3,22,0.6595871448516846,34027.35212026148,1.2038383256718894,0.8717550039291382
PARE,0.2,4,21,0.6604455709457397,26361.293199565065,1.4466875756478548,0.873016893863678
PARE,0.2,5,22,0.6620895266532898,30732.057633896093,1.3244794917475067,0.8764147162437439
PARE,0.2,6,22,0.6732134222984314,30872.842220677332,1.4331242197147795,0.8762087225914001
PARE,0.2,7,22,0.6696740388870239,43494.41592321148,1.4288416942066158,0.866178572177887
PARE,0.2,8,20,0.6424943804740906,37834.04344682983,1.2144564733393435,0.8766065835952759
PARE,0.2,9,21,0.656084418296814,36068.006321206405,1.4144810918960098,0.8684239387512207
PARE_wolasso,0.2,0,17,0.8367968797683716,27775.024678884,0.5082928729273672,0.8949704766273499
PARE_wolasso,0.2,1,17,0.7259356379508972,19046.904599559733,0.7332001215498176,0.8856971263885498
PARE_wolasso,0.2,2,17,0.7364585399627686,19302.992738515553,0.7377676737528535,0.8879491090774536
PARE_wolasso,0.2,3,17,0.8336761593818665,27317.804945726948,0.4939074489619981,0.8940761685371399
PARE_wolasso,0.2,4,17,0.8268537521362305,26056.18740269875,0.4988745410017125,0.8914293050765991
PARE_wolasso,0.2,5,17,0.7422778010368347,19686.135509023457,0.7319343416417925,0.8871405720710754
PARE_wolasso,0.2,6,17,0.8341683745384216,27500.36209050134,0.4899915904655577,0.8946401476860046
PARE_wolasso,0.2,7,17,0.7406920790672302,19731.590195749315,0.7284191077416753,0.8882204294204712
PARE_wolasso,0.2,8,17,0.7282786965370178,18275.508127639267,0.7595191512133678,0.8862931132316589
PARE_wolasso,0.2,9,17,0.6771140098571777,16924.384228837604,0.7361436454946907,0.8770798444747925
scVI,0.5,0,25,0.35231995582580566,2928.5663444248953,1.494685575738428,0.9089727997779846
scVI,0.5,4,25,0.3604458272457123,3006.6801412475793,1.4501328280550307,0.9091830253601074
scVI,0.5,8,25,0.3255252540111542,2791.342034382154,1.440036644216957,0.9069764614105225
PARE,0.5,1,22,0.6238222122192383,23445.948411867095,1.1743806806879211,0.8725292086601257
PARE,0.5,2,25,0.6827457547187805,40927.6470917368,1.5067859776150347,0.8589900732040405
PARE,0.5,3,25,0.6797029376029968,38798.52544353976,1.3389265513620217,0.8669627904891968
